pc psnr rre
10 19.7072 0.146081
20 22.912 0.101008
30 25.6406 0.0737773
40 27.9171 0.0567672
50 30.2627 0.0433327
60 32.6592 0.0328846
70 35.0295 0.0250309
80 37.3599 0.0191408
90 39.3988 0.0151361
100 41.1349 0.0123939
