pc psnr rre
10 19.6287 0.147407
20 23.0199 0.0997609
30 25.5501 0.0745503
40 27.9036 0.0568557
50 30.2345 0.0434738
60 32.615 0.0330522
70 34.954 0.0252495
80 37.3245 0.0192188
90 39.3818 0.0151657
100 41.1011 0.0124422
