pc psnr rre
10 19.4762 0.150019
20 21.1599 0.123583
30 21.8684 0.113903
40 22.8453 0.101786
50 24.0111 0.0890013
60 25.4741 0.0752054
70 27.3106 0.0608729
80 29.747 0.0459835
90 33.563 0.0296349
100 0 0
