pc psnr rre
10 19.7282 0.145728
20 23.1479 0.0983013
30 25.7266 0.0730506
40 27.9695 0.0564257
50 30.2782 0.0432557
60 32.5528 0.0332898
70 35.1456 0.0246987
80 38.0856 0.0176065
90 42.4341 0.010672
100 0 0
