pc psnr rre
10 3.75555 0.916591
20 4.56324 0.835201
30 5.39845 0.758631
40 6.76934 0.647867
50 16.684 0.206896
60 28.3942 0.0537332
70 31.5563 0.037337
80 34.6478 0.0261554
90 37.4942 0.018847
100 40.1413 0.0138959
