pc psnr rre
10 19.3964 0.151403
20 20.5169 0.133079
30 21.4997 0.118842
40 22.4801 0.106157
50 23.7815 0.0913861
60 25.1161 0.0783694
70 27.1026 0.0623478
80 29.5851 0.0468485
90 33.486 0.0298986
100 0 0
