pc psnr rre
10 18.1423 0.174919
20 19.8171 0.144244
30 21.6843 0.116343
40 23.6721 0.0925439
50 25.8381 0.0721189
60 28.3044 0.0542918
70 31.1411 0.039165
80 34.1705 0.027633
90 37.1471 0.0196154
100 39.7717 0.0145
