pc psnr rre
0 0 1
10 18.0928 0.175919
20 19.7917 0.144666
30 21.6235 0.11716
40 23.6462 0.0928199
50 25.8017 0.072422
60 28.382 0.053809
70 31.1626 0.039068
80 34.1892 0.0275737
90 37.2265 0.019437
100 39.746 0.0145429
