pc psnr rre
10 8.80091 0.512752
20 20.1172 0.139346
30 21.848 0.11417
40 23.7542 0.0916738
50 25.901 0.0715985
60 28.4422 0.0534374
70 31.2554 0.0386528
80 34.2255 0.0274585
90 37.3077 0.019256
100 39.8064 0.0144422
