pc psnr rre
10 6.5921 0.661223
20 10.5791 0.417827
30 14.9277 0.25326
40 19.469 0.150142
50 24.0615 0.0884865
60 27.1059 0.0623245
70 29.5481 0.0470488
80 31.9294 0.0357669
90 35.2929 0.0242833
100 0 0
