pc psnr rre
10 20.969 0.126329
20 22.5723 0.105036
30 24.0413 0.0886924
40 25.4953 0.0750219
50 26.793 0.0646105
60 28.1383 0.0553402
70 29.7463 0.0459875
80 31.9358 0.0357408
90 35.3056 0.0242478
100 nan 0
